captured_at	value
2021-12-19T01:23:46.000Z	2200
2021-12-19T01:23:51.000Z	2400
2021-12-19T01:23:56.000Z	2200
2021-12-19T01:24:01.000Z	2300
2021-12-19T01:24:06.000Z	3100
2021-12-19T01:24:11.000Z	3200
2021-12-19T01:24:16.000Z	3500
2021-12-19T01:24:21.000Z	3400
2021-12-19T01:24:26.000Z	3600
2021-12-19T01:24:31.000Z	3700
2021-12-19T01:24:36.000Z	3900
2021-12-19T01:24:41.000Z	3400
2021-12-19T01:24:46.000Z	3200
2021-12-19T01:24:51.000Z	3100
2021-12-19T01:24:56.000Z	3400
2021-12-19T01:25:01.000Z	3600
2021-12-19T01:25:06.000Z	3000
2021-12-19T01:26:11.000Z	3200
2021-12-19T01:26:16.000Z	3000
2021-12-19T01:26:21.000Z	3300
2021-12-19T01:26:26.000Z	3400
2021-12-19T01:26:31.000Z	3100
2021-12-19T01:26:36.000Z	3000
2021-12-19T01:26:41.000Z	3000
2021-12-19T01:26:46.000Z	2900
2021-12-19T01:26:51.000Z	3600
2021-12-19T01:26:56.000Z	3800
2021-12-19T01:27:01.000Z	3800
2021-12-19T01:27:06.000Z	3800
2021-12-19T01:27:11.000Z	4300
2021-12-19T01:27:16.000Z	4700
2021-12-19T01:27:21.000Z	4400
2021-12-19T01:27:26.000Z	4700
2021-12-19T01:27:31.000Z	5000
2021-12-19T01:27:36.000Z	4700
2021-12-19T01:27:41.000Z	4800
2021-12-19T01:27:46.000Z	5000
2021-12-19T01:27:52.000Z	4700
2021-12-19T01:27:57.000Z	4500
2021-12-19T01:28:02.000Z	4500
2021-12-19T01:28:07.000Z	4600
2021-12-19T01:28:12.000Z	4100
2021-12-19T01:28:17.000Z	3800
2021-12-19T01:28:22.000Z	4000
2021-12-19T01:28:27.000Z	3800
2021-12-19T01:28:32.000Z	3400
2021-12-19T01:28:37.000Z	3300
2021-12-19T01:28:42.000Z	3500
2021-12-19T01:28:47.000Z	3200
2021-12-19T01:28:52.000Z	2800
2021-12-19T01:28:57.000Z	2900
2021-12-19T01:29:02.000Z	2900
2021-12-19T01:29:07.000Z	2800
2021-12-19T01:29:12.000Z	2800
2021-12-19T01:29:17.000Z	2900
2021-12-19T01:29:22.000Z	2600
2021-12-19T01:29:27.000Z	2400
